X,Y,OBJECTID,GLOBALID,DAMAGE,STRUCTURETYPE
-13151679.3739,4054439.469,17139,e2c33b45-7b12-40e9-b37b-6b074dae038b,Destroyed (>50%),Utility Misc Structure
-13152477.8299,4056099.2888,17140,0bda3eb9-c252-4ee0-a94f-76cae76fea10,Destroyed (>50%),Utility Misc Structure
-13151112.6496,4056791.5001,17141,4f08de9e-3335-444d-8bd4-55287c0e2602,Destroyed (>50%),Single Family Residence Single Story
-13151085.7027,4056809.4825,17142,fbaf3c89-a952-4201-8235-5b61afdcdf4d,No Damage,Single Family Residence Single Story
-13152502.9723,4056090.5045,17143,725e09af-a136-4d2b-a4ce-3aab99fdaac1,Affected (1-9%),Utility Misc Structure
-13152501.6516,4056120.5941,17144,fbdf02f7-c7cb-4c1c-a841-2c6913bda4e8,Affected (1-9%),Single Family Residence Single Story
-13151143.0752,4056785.3852,17145,4e881ece-44fa-4c5f-850c-287e403c37a1,Destroyed (>50%),Single Family Residence Single Story
-13151139.1609,4056721.537,17146,163ac1f9-7a9f-4d8a-af00-59f3dceb76b0,Destroyed (>50%),Single Family Residence Single Story
-13152678.7866,4056103.6421,17147,144dc127-0516-48fe-adb1-f47cb5cf5419,Destroyed (>50%),Single Family Residence Single Story
-13152682.6665,4056117.4742,17148,9dd17459-4bd6-44fb-b135-95ee84dcd7ea,Destroyed (>50%),Utility Misc Structure
-13152676.8333,4056148.0444,17149,dd6cc802-9c47-4b56-8fff-32b705316fe8,Destroyed (>50%),Single Family Residence Single Story
-13151931.1294,4056592.2079,17150,0c562e28-9141-4dae-b273-70059368af50,Destroyed (>50%),Single Family Residence Multi Story
-13150210.0529,4055486.2618,17151,bed800f9-16df-4584-bd99-7ebd20413d76,Destroyed (>50%),Utility Misc Structure
-13152501.8488,4056067.3918,17152,2767375d-588f-42e7-b9f4-6d77776f0986,Affected (1-9%),Single Family Residence Single Story
-13152064.8269,4056475.2758,17153,4e1960ab-a4a0-4f68-b068-82495124abc7,Destroyed (>50%),Utility Misc Structure
-13151295.8498,4056718.838,17154,89fc5afd-e040-4382-b6c0-ac3323b4918c,No Damage,Single Family Residence Single Story
-13151368.7638,4054034.5906,17155,a44fe320-4287-48da-9270-82067af225e3,Destroyed (>50%),Utility Misc Structure
-13152530.2175,4056069.0113,17156,665c1f1d-267d-48c5-9cb7-34261fac45f5,Destroyed (>50%),Single Family Residence Single Story
-13151995.0498,4056457.0303,17157,a4bae3b5-6052-4e89-8c2f-e38e42a4151e,Destroyed (>50%),Single Family Residence Single Story
-13152537.2175,4056094.4193,17158,44a0f380-2540-405b-ba03-f8098e6ea2b9,Destroyed (>50%),Utility Misc Structure
-13151317.882,4056696.2179,17159,6465d9f6-271a-4913-8dd6-c18ce19a40e3,No Damage,Single Family Residence Multi Story
-13151310.6229,4056719.4827,17160,a4bda156-f7f7-49d3-8d55-1c0a630f00ab,No Damage,Utility Misc Structure
-13151323.0226,4056725.5391,17161,dbd0827b-4488-4994-9257-7082c6804cc1,Destroyed (>50%),Utility Misc Structure
-13152086.2747,4056695.4222,17162,3e3e6eb4-fc0f-45a3-964d-a27a165df16f,Destroyed (>50%),Single Family Residence Single Story
